ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography,share
0,"Owner Occupied",2015,"2015",43897,959,"Glendale, AZ","16000US0427820","glendale-az",0.5545911663634526
0,"Owner Occupied",2015,"2015",860,121,"Guadalupe, AZ","16000US0430270","guadalupe-az",0.5477707006369427
0,"Owner Occupied",2015,"2015",1695,167,"Litchfield Park, AZ","16000US0441330","litchfield-park-az",0.819236346060899
0,"Owner Occupied",2015,"2015",114,28,"Maricopa Colony, AZ","16000US0444450","maricopa-colony-az",0.7402597402597403
0,"Owner Occupied",2015,"2015",5178,294,"New River, AZ","16000US0449360","new-river-az",0.8765871000507872
0,"Owner Occupied",2015,"2015",4820,231.99999999999997,"Paradise Valley, AZ","16000US0452930","paradise-valley-az",0.9166983643971092
0,"Owner Occupied",2015,"2015",41396,871,"Peoria, AZ","16000US0454050","peoria-az",0.7065610705263876
0,"Owner Occupied",2015,"2015",278448,2764,"Phoenix, AZ","16000US0455000","phoenix-az",0.5297616103194384
0,"Owner Occupied",2015,"2015",67606,1208,"Scottsdale, AZ","16000US0465000","scottsdale-az",0.6600601421541826
0,"Owner Occupied",2015,"2015",27065,837,"Tempe, AZ","16000US0473000","tempe-az",0.41760530782286687
0,"Owner Occupied",2015,"2015",849,142,"Tolleson, AZ","16000US0474190","tolleson-az",0.3914246196403873
0,"Owner Occupied",2015,"2015",967478,6555,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-scottsdale-az",0.6161821061742533
0,"Owner Occupied",2014,"2014",74787460,343068,"United States","01000US","united-states",0.6435483800462007
0,"Owner Occupied",2014,"2014",1513294,9450,"Arizona","04000US04","arizona",0.6339078586789967
0,"Owner Occupied",2014,"2014",873599,6189,"Maricopa County, AZ","05000US04013","maricopa-county-az",0.6133773426463444
0,"Owner Occupied",2014,"2014",5796,445,"Anthem, AZ","16000US0402430","anthem-az",0.735626348521386
0,"Owner Occupied",2014,"2014",13202,560,"Avondale, AZ","16000US0404720","avondale-az",0.5732522796352584
0,"Owner Occupied",2014,"2014",1780,145,"Cave Creek, AZ","16000US0411300","cave-creek-az",0.8329433785680861
0,"Owner Occupied",2014,"2014",43815,925,"Glendale, AZ","16000US0427820","glendale-az",0.5581813086017122
0,"Owner Occupied",2014,"2014",850,147,"Guadalupe, AZ","16000US0430270","guadalupe-az",0.5466237942122186
0,"Owner Occupied",2014,"2014",1699,178,"Litchfield Park, AZ","16000US0441330","litchfield-park-az",0.8105916030534351
0,"Owner Occupied",2014,"2014",65,23,"Maricopa Colony, AZ","16000US0444450","maricopa-colony-az",0.5909090909090909
