Day of Year,Last Updated,Year of Period End,Period Begin,Period End,Median Sale Price Yoy (tooltip),Median Sale Price Yoy,Median Sale Price,
318,2/2/2022 14:20,2021,8/23/2021,11/14/2021,12.88%,0.128754631,"353,875.30",
320,2/2/2022 14:20,2020,8/24/2020,11/15/2020,13.93%,0.139266059,"313,509.50",
325,2/2/2022 14:20,2021,8/30/2021,11/21/2021,12.81%,0.128066542,"354,458.70",
327,2/2/2022 14:20,2020,8/31/2020,11/22/2020,14.05%,0.140458604,"314,217.90",
332,2/2/2022 14:20,2021,9/6/2021,11/28/2021,12.89%,0.128862169,"354,708.70",
334,2/2/2022 14:20,2020,9/7/2020,11/29/2020,14.31%,0.143061119,"314,217.90",
339,2/2/2022 14:20,2021,9/13/2021,12/5/2021,12.90%,0.129014496,"355,125.30",
341,2/2/2022 14:20,2020,9/14/2020,12/6/2020,14.22%,0.142171729,"314,544.50",
346,2/2/2022 14:20,2021,9/20/2021,12/12/2021,13.05%,0.130471841,"355,583.70",
348,2/2/2022 14:20,2020,9/21/2020,12/13/2020,14.06%,0.140583809,"314,544.50",
353,2/2/2022 14:20,2021,9/27/2021,12/19/2021,13.16%,0.131621927,"356,417",
355,2/2/2022 14:20,2020,9/28/2020,12/20/2020,14.03%,0.140337437,"314,961.20",
360,2/2/2022 14:20,2021,10/4/2021,12/26/2021,13.29%,0.132867803,"356,800",
362,2/2/2022 14:20,2020,10/5/2020,12/27/2020,14.07%,0.140651812,"314,952.90",
